iPhone 5|320|568|640|1136|4|326
iPhone 5s|320|568|640|1136|4|326
iPhone 5c|320|568|640|1136|4|326
iPhone 5SE|320|568|640|1136|4|326
iPhone 6|375|667|750|1344|4.7|326
iPhone 6s|375|667|750|1344|4.|326
iPhone 7|375|667|750|1344|4.7|326
iPhone 8|375|667|750|1344|4.7|326
iPhone 6+|414|736|1080|1920|5.5|401
iPhone 6s+|414|736|1080|1920|5.5|401
iPhone 7+|414|736|1080|1920|5.5|401
iPhone 8+|414|736|1080|1920|5.5|401
iPhone X|375|812|1125|2436|5.8|458
iPhone Xs|375|812|1125|2436|5.8|458
iPhone 11 Pro|375|812|1125|2436|5.8|458i
iPhone Xr|414|896|828|1792|6.1|326
iPhone 11 Pro Max|414|896|1242|2688|6.5|458
iPhone Xs|414|896|1242|2688|6.5|458
iPhone Max|414|896|1242|2688|6.5|458
Pixel 3|412|869|1080|2280|5.5|444
Pixel 4|393|786|1080|2160|5.7|443
